date,open,high,low,close,pct_change
2012-02-13,13280.6,13691.0,13161.7,13524.3,0.022569523204645447
2012-02-14,13503.9,13687.1,13310.1,13506.0,-0.001353119939664138
2012-02-15,13775.3,14146.1,13665.0,14015.4,0.037716570413149686
2012-02-16,14221.7,14452.6,13995.6,14206.0,0.013599326455185023
2012-02-17,14171.5,14340.0,13917.0,14107.5,-0.006933689990144987
2012-02-20,14497.8,14669.6,14239.4,14339.9,0.01647350699982275
2012-02-21,14355.3,14628.3,14145.7,14558.2,0.015223258181716881
2012-02-22,15112.8,15513.3,15001.0,15404.2,0.058111579728263196
2012-02-23,15794.4,16090.1,15611.6,15863.0,0.029784084859973303
2012-02-24,16389.4,16792.4,16233.1,16621.5,0.047815671688835604
2012-02-27,17498.6,17924.6,17324.8,17495.3,0.05257046596275905
2012-02-28,17707.0,17989.7,17400.0,17706.7,0.01208324521442905
2012-02-29,17623.3,17870.7,17311.5,17471.8,-0.013266164785081469
2012-03-01,17140.1,17514.4,17038.4,17296.3,-0.010044757838345242
2012-03-02,17398.2,17825.3,17321.9,17716.7,0.024305776379919486
2012-03-05,18007.3,18323.2,17766.4,17962.0,0.013845693611112653
2012-03-06,17989.9,18207.7,17603.7,17853.0,-0.006068366551608917
2012-03-07,17608.4,18042.0,17438.4,17692.0,-0.009018092197389804
2012-03-08,17724.7,18122.5,17618.1,17928.7,0.0133789283291883
2012-03-09,18107.2,18443.2,17936.4,18312.2,0.021390284850546948
2012-03-12,18519.1,18812.6,18245.7,18562.8,0.013684865827153336
2012-03-13,18609.8,18946.0,18410.1,18800.3,0.012794406016333637
2012-03-14,19947.1,20275.8,18801.5,19057.6,0.013685951819917719
2012-03-15,19166.1,19518.1,18601.8,18994.9,-0.0032900260263620806
2012-03-16,19017.6,19545.4,18794.5,19416.5,0.022195431405271915
2012-03-19,19369.1,19791.1,19103.0,19609.3,0.009929698967373168
2012-03-20,19409.1,19618.3,18894.0,19057.3,-0.02814990846180132
2012-03-21,19001.0,19342.4,18565.6,18998.7,-0.0030749371631867417
2012-03-22,18589.9,18865.4,18286.5,18544.5,-0.023906898893082174
2012-03-23,18092.9,18301.0,17654.2,17847.9,-0.037563698131521384
2012-03-26,17256.3,17513.9,16979.0,17262.9,-0.03277696535726893
2012-03-27,16973.9,17213.7,16705.0,16857.9,-0.023460716333872034
2012-03-28,16664.4,16791.0,15907.7,16044.0,-0.04828003487978938
2012-03-29,15715.6,15962.9,15266.2,15535.6,-0.031687858389429
2012-03-30,15181.7,15432.0,14844.6,15115.3,-0.027053992121321424
2012-04-05,14995.5,15607.7,14868.5,15505.0,0.025781823715043783
2012-04-06,15319.3,15638.4,15152.3,15436.2,-0.004437278297323433
2012-04-09,15058.9,15284.6,14789.6,14944.8,-0.03183425972713505
2012-04-10,14706.5,15032.1,14348.0,14948.9,0.00027434291526162724
2012-04-11,14614.7,15038.7,14488.6,14846.8,-0.006829933975075142
2012-04-12,15073.5,15460.6,14924.6,15363.8,0.03482231861411211
2012-04-13,15641.4,15956.3,15470.7,15711.0,0.02259857587315639
2012-04-16,15537.4,15870.0,15374.0,15659.3,-0.003290688052956625
2012-04-17,15570.3,15790.5,15243.4,15365.4,-0.018768399609177866
2012-04-18,15615.8,16078.4,15473.6,15957.0,0.03850208910929753
2012-04-19,16015.8,16269.1,15790.6,16001.7,0.0028012784357962506
2012-04-20,16176.6,16562.6,16029.6,16392.8,0.024441153127480186
2012-04-23,16694.1,16963.1,16271.5,16482.9,0.005496315455566059
2012-04-24,16662.0,17076.1,16144.9,16731.6,0.015088364304824742
2012-04-25,16904.7,17402.8,16702.2,17184.7,0.027080494393841636
2012-04-26,17341.1,17645.6,17019.8,17260.2,0.0043934430045331485
2012-04-27,17071.5,17338.7,16794.0,16994.1,-0.015416970834637
2012-05-02,17516.0,17884.0,17217.5,17599.0,0.035594706398103027
2012-05-03,17598.5,17961.7,17402.4,17745.2,0.00830729018694254
2012-05-04,17673.5,18025.8,17479.8,17851.2,0.005973446340418853
2012-05-07,18054.0,18448.7,17854.1,18271.7,0.02355583938334682
2012-05-08,18342.7,18631.1,18049.0,18356.3,0.004630111046043828
2012-05-09,18165.2,18401.7,17823.0,18003.6,-0.01921411177633836
2012-05-10,17702.3,18052.5,17531.7,17799.4,-0.011342176009242477
2012-05-11,17573.3,17856.4,17319.8,17478.3,-0.0180399339303573
