order_book_id,etf_name,turnover
516920.XSHG,芯片ETF汇添富,75633126.0
516350.XSHG,芯片ETF易方达,207286042.0
159665.XSHE,半导体龙头ETF工银,67336401.3
516640.XSHG,芯片ETF富国,225234392.0
159813.XSHE,半导体ETF鹏华,500113310.277
159546.XSHE,集成电路ETF国泰,105841139.7
159582.XSHE,半导体ETF博时,90618524.5
588710.XSHG,科创半导体设备ETF华泰柏瑞,464370734.0
588170.XSHG,科创半导体ETF华夏,2053113192.0
589030.XSHG,科创芯片设计ETF易方达,114952053.0
589070.XSHG,科创芯片设计ETF天弘,90688413.0
589020.XSHG,科创半导体设备ETF鹏华,265936061.0
561980.XSHG,半导体设备ETF招商,445456137.0
588200.XSHG,科创芯片ETF嘉实,6489098287.0
588890.XSHG,科创芯片ETF南方,557083897.0
589100.XSHG,科创芯片ETF国泰,74884265.0
589130.XSHG,科创芯片ETF易方达,197700245.0
588290.XSHG,科创芯片ETF华安,836083094.0
588780.XSHG,科创芯片设计ETF国联安,342357122.0
588810.XSHG,科创芯片ETF富国,123313153.0
588920.XSHG,科创芯片ETF鹏华,51928184.0
588990.XSHG,科创芯片ETF博时,116406721.0
588750.XSHG,科创芯片ETF汇添富,527957070.0
589190.XSHG,科创芯片ETF华宝,100588306.0
